Date,Case ID,Campaign,Classification,Severity,Priority,Risk Score,Confidence,Evidence,IOCs,Assets,Platform,Vendor,Network Zone,Lead Analyst,Status
2026-07-11,BID-2026-5848,Laboratory Network Exposure Review,Biomedical Network Exposure,MODERATE,Priority III,44,87,50,10,10,Federal Investigation Network,Lenovo,Quarantine Zone,Special Response Unit,Evidence Collection
2026-07-12,BID-2026-8029,Laboratory Network Exposure Review,Biocontainment Network Investigation,HIGH,Priority III,68,90,21,25,8,Medical Research Laboratory,Lenovo,Federal Operations,Analyst Team Bravo,Evidence Collection
2026-07-12,BID-2026-4594,Biomedical Containment Incident,Medical Device Security Assessment,CRITICAL,Priority III,79,79,21,24,18,Digital Evidence Repository,Lenovo,Internal Research,BioDefense Task Force,Evidence Collection
2026-07-13,BID-2026-7771,Coordinated Biomedical Systems Intrusion,Research Facility Intrusion,MODERATE,ELEVATED,47,94,50,29,26,Laboratory Control Network,Microsoft,Research Operations,Analyst Team Bravo,Containment
2026-07-13,BID-2026-3923,Coordinated Biomedical Systems Intrusion,Biological Intelligence Collection,CRITICAL,ELEVATED,95,95,129,40,35,Laboratory Control Network,Microsoft,Federal Operations,Analyst Team Alpha,Open
2026-07-13,BID-2026-5173,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,CRITICAL,ELEVATED,92,92,94,34,14,Evidence Processing Network,Fortinet,Secure Laboratory,Analyst Team Bravo,Containment
2026-07-13,BID-2026-7533,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach,MODERATE,HIGH,46,93,109,29,9,Federal Investigation Network,Fortinet,Evidence Network,Analyst Team Bravo,Monitoring
2026-07-13,BID-2026-2187,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,MODERATE,HIGH,45,90,100,25,28,Biomedical Analysis Cluster,Microsoft,Research Operations,Analyst Team Bravo,Open
2026-07-14,BID-2026-3673,Coordinated Biomedical Systems Intrusion,Digital Pathogen Intelligence Review,HIGH,HIGH,72,96,75,24,10,Biomedical Analysis Cluster,Cisco,Secure Laboratory,BioDefense Task Force,Containment
2026-07-14,BID-2026-4042,Coordinated Biomedical Systems Intrusion,Biosecurity Infrastructure Investigation,MODERATE,CRITICAL,46,93,120,20,31,Clinical Research Environment,Cisco,Federal Operations,National Response Cell,Field Coordination
2026-07-14,BID-2026-8491,Coordinated Biomedical Systems Intrusion,Biomedical Network Exposure,MODERATE,SEVERE,43,86,158,31,13,Federal Investigation Network,Cisco,Research Operations,National Response Cell,Intelligence Analysis
2026-07-15,BID-2026-6092,Coordinated Biomedical Systems Intrusion,Biological Intelligence Collection,CRITICAL,CRITICAL,94,94,162,51,26,Clinical Research Environment,Lenovo,Secure Laboratory,Analyst Team Alpha,Intelligence Analysis
2026-07-15,BID-2026-4519,Coordinated Biomedical Systems Intrusion,Digital Pathogen Intelligence Review,MODERATE,SEVERE,44,89,68,89,11,Clinical Research Environment,Fortinet,Evidence Network,Analyst Team Bravo,Field Coordination
2026-07-16,BID-2026-7923,Coordinated Biomedical Systems Intrusion,Evidence Reconstruction Investigation,MODERATE,CRITICAL,48,96,23,128,11,Biomedical Analysis Cluster,Dell,Research Operations,Analyst Team Bravo,Field Coordination
2026-07-16,BID-2026-9568,Coordinated Biomedical Systems Intrusion,Research Facility Intrusion,CRITICAL,SEVERE,94,94,410,243,19,Laboratory Control Network,Dell,Secure Laboratory,Analyst Team Bravo,Open
2026-07-16,BID-2026-1951,Coordinated Biomedical Systems Intrusion,Research Facility Intrusion,MODERATE,SEVERE,50,99,28,142,24,Clinical Research Environment,Dell,Secure Laboratory,Joint Cyber Investigation Unit,Field Coordination
2026-07-16,BID-2026-7151,Coordinated Biomedical Systems Intrusion,Biosecurity Infrastructure Investigation,HIGH,ELEVATED,73,97,626,432,38,Clinical Research Environment,VMware,Federal Operations,Joint Cyber Investigation Unit,Intelligence Analysis
2026-07-17,BID-2026-1588,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach,LOW,ELEVATED,24,96,1070,325,27,Evidence Processing Network,Red Hat,Biosecurity Segment,Analyst Team Bravo,Containment
2026-07-17,BID-2026-1443,Coordinated Biomedical Systems Intrusion,Biomedical Network Exposure,LOW,SEVERE,24,94,2127,1008,18,Evidence Processing Network,Red Hat,Containment Network,National Response Cell,Monitoring
2026-07-19,BID-2026-1767,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,MODERATE,CRITICAL,45,90,118,1504,8,Laboratory Control Network,Red Hat,Federal Operations,Analyst Team Alpha,Containment
2026-07-19,BID-2026-7964,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,CRITICAL,CRITICAL,93,93,3904,2764,37,Biomedical Analysis Cluster,Dell,Biosecurity Segment,Analyst Team Delta,Open
2026-07-19,BID-2026-9255,Coordinated Biomedical Systems Intrusion,Counter-Bioterror Intelligence Case,MODERATE,SEVERE,46,91,3635,6364,37,Laboratory Control Network,Dell,Containment Network,National Response Cell,Monitoring
2026-07-19,BID-2026-5303,Coordinated Biomedical Systems Intrusion,Counter-Bioterror Intelligence Case,CRITICAL,HIGH,84,84,11528,6017,23,Clinical Research Environment,Red Hat,Secure Laboratory,Analyst Team Alpha,Intelligence Analysis
2026-07-19,BID-2026-2269,Coordinated Biomedical Systems Intrusion,Counter-Bioterror Intelligence Case,MODERATE,CRITICAL,48,95,15907,9194,32,Research Network,Red Hat,Evidence Network,Analyst Team Delta,Evidence Collection
2026-07-20,BID-2026-8160,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,LOW,HIGH,22,87,38680,8618,16,Biosecurity Operations Center,Red Hat,Evidence Network,Analyst Team Delta,Monitoring
2026-07-20,BID-2026-9164,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,HIGH,HIGH,70,93,5869,22474,26,Genome Sequencing Environment,Fortinet,Research Operations,Analyst Team Delta,Monitoring
2026-07-21,BID-2026-5263,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,HIGH,HIGH,73,97,189,46,25,Evidence Processing Network,Red Hat,Research Operations,Analyst Team Delta,Field Coordination
2026-07-21,BID-2026-4741,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,MODERATE,ELEVATED,46,93,89,21,6,Research Network,VMware,Secure Laboratory,Joint Cyber Investigation Unit,Intelligence Analysis
2026-07-21,BID-2026-6233,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach,MODERATE,ELEVATED,42,83,68,10,9,Biomedical Analysis Cluster,Dell,Secure Laboratory,Analyst Team Delta,Intelligence Analysis
2026-07-22,BID-2026-4333,Coordinated Biomedical Systems Intrusion,Biomedical Network Exposure,HIGH,HIGH,64,86,104,39,26,Evidence Processing Network,Microsoft,Federal Operations,Analyst Team Delta,Field Coordination
2026-07-22,BID-2026-8048,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,MODERATE,ELEVATED,44,87,68,21,12,Evidence Processing Network,Red Hat,Research Operations,Analyst Team Delta,Monitoring
2026-07-23,BID-2026-9826,Coordinated Biomedical Systems Intrusion,Cyber-Biothreat Intelligence Review,LOW,ROUTINE,20,81,32,5,3,Clinical Research Environment,Fortinet,Secure Laboratory,National Response Cell,Field Coordination
2026-07-23,BID-2026-2763,Coordinated Biomedical Systems Intrusion,Biomedical Network Exposure,MODERATE,ELEVATED,46,92,89,23,14,Federal Investigation Network,Dell,Secure Laboratory,National Response Cell,Field Coordination
2026-07-23,BID-2026-3767,Coordinated Biomedical Systems Intrusion,Biomedical Network Exposure,HIGH,HIGH,73,97,100,38,20,Evidence Processing Network,Red Hat,Biosecurity Segment,National Response Cell,Monitoring
2026-07-23,BID-2026-9421,Coordinated Biomedical Systems Intrusion,Evidence Reconstruction Investigation,LOW,ROUTINE,21,83,17,10,6,Laboratory Control Network,Cisco,Federal Operations,Analyst Team Delta,Intelligence Analysis
2026-07-24,BID-2026-4404,Coordinated Biomedical Systems Intrusion,Research Facility Intrusion,LOW,ROUTINE,22,87,16,15,5,Laboratory Control Network,Microsoft,Containment Network,Analyst Team Alpha,Containment
2026-07-24,BID-2026-7645,Coordinated Biomedical Systems Intrusion,Counter-Bioterror Intelligence Case,MODERATE,ELEVATED,46,92,61,16,8,Evidence Processing Network,Fortinet,Federal Operations,BioDefense Task Force,Field Coordination
2026-07-24,BID-2026-4432,Coordinated Biomedical Systems Intrusion,Research Facility Intrusion,HIGH,HIGH,72,96,123,37,13,Laboratory Control Network,Cisco,Evidence Network,Analyst Team Alpha,Evidence Collection
2026-07-24,BID-2026-3610,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach,MODERATE,ELEVATED,44,87,78,33,17,Federal Investigation Network,Dell,Federal Operations,Analyst Team Bravo,Evidence Collection
2026-07-24,BID-2026-8498,Coordinated Biomedical Systems Intrusion,Cyber-Biothreat Intelligence Review,HIGH,HIGH,71,95,121,62,14,Evidence Processing Network,Cisco,Secure Laboratory,Analyst Team Delta,Field Coordination
2026-07-24,BID-2026-7222,Coordinated Biomedical Systems Intrusion,Cyber-Biothreat Intelligence Review,CRITICAL,CRITICAL,96,96,197,121,24,Clinical Research Environment,VMware,Research Operations,Joint Cyber Investigation Unit,Monitoring
2026-07-25,BID-2026-5964,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach,MODERATE,ELEVATED,42,83,46,32,18,Federal Investigation Network,Microsoft,Research Operations,Analyst Team Delta,Evidence Collection
2026-07-25,BID-2026-6782,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach,HIGH,HIGH,70,94,186,63,18,Biomedical Analysis Cluster,Dell,Containment Network,Analyst Team Bravo,Monitoring
2026-07-26,BID-2026-3972,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,CRITICAL,CRITICAL,99,99,356,63,49,Laboratory Control Network,Fortinet,Research Operations,Analyst Team Alpha,Intelligence Analysis
2026-07-26,BID-2026-8783,Coordinated Biomedical Systems Intrusion,Evidence Reconstruction Investigation,CRITICAL,CRITICAL,97,97,279,68,52,Evidence Processing Network,Dell,Federal Operations,BioDefense Task Force,Monitoring
2026-07-26,BID-2026-7389,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,HIGH,HIGH,64,86,214,66,23,Genome Sequencing Environment,Palo Alto Networks,Federal Operations,Analyst Team Delta,Evidence Collection
2026-07-26,BID-2026-5440,Coordinated Biomedical Systems Intrusion,Counter-Bioterror Intelligence Case,HIGH,HIGH,65,87,162,77,25,Laboratory Control Network,Red Hat,Containment Network,Analyst Team Bravo,Evidence Collection
2026-07-26,BID-2026-1824,Coordinated Biomedical Systems Intrusion,Biosecurity Infrastructure Investigation,MODERATE,ELEVATED,42,83,61,35,15,Genome Sequencing Environment,VMware,Federal Operations,National Response Cell,Intelligence Analysis
2026-07-26,BID-2026-4874,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach,LOW,ROUTINE,20,80,35,7,5,Genome Sequencing Environment,Cisco,Containment Network,Analyst Team Alpha,Open
2026-07-26,BID-2026-8128,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,MODERATE,ELEVATED,46,91,95,13,15,Laboratory Control Network,Lenovo,Biosecurity Segment,Analyst Team Bravo,Open
2026-07-26,BID-2026-1198,Coordinated Biomedical Systems Intrusion,Biomedical Network Exposure,LOW,ROUTINE,20,80,28,5,8,Laboratory Control Network,VMware,Evidence Network,Analyst Team Delta,Open
2026-07-26,BID-2026-9301,Coordinated Biomedical Systems Intrusion,Cyber-Biothreat Intelligence Review,LOW,ROUTINE,22,87,33,6,3,Biosecurity Operations Center,Palo Alto Networks,Federal Operations,Joint Cyber Investigation Unit,Intelligence Analysis
2026-07-26,BID-2026-9419,Coordinated Biomedical Systems Intrusion,Counter-Bioterror Intelligence Case,MODERATE,ELEVATED,42,85,85,30,13,Evidence Processing Network,VMware,Research Operations,National Response Cell,Field Coordination
2026-07-26,BID-2026-9404,Coordinated Biomedical Systems Intrusion,Cyber-Biothreat Intelligence Review,MODERATE,ELEVATED,47,94,86,15,13,Evidence Processing Network,Dell,Research Operations,National Response Cell,Evidence Collection
2026-07-26,BID-2026-9444,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,LOW,ROUTINE,21,84,42,9,5,Evidence Processing Network,Fortinet,Secure Laboratory,Analyst Team Alpha,Evidence Collection
2026-07-27,BID-2026-1850,Coordinated Biomedical Systems Intrusion,Research Facility Intrusion,CRITICAL,CRITICAL,91,91,197,151,54,Biosecurity Operations Center,Microsoft,Federal Operations,National Response Cell,Containment
2026-07-27,BID-2026-4464,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,CRITICAL,CRITICAL,99,99,371,126,33,Biosecurity Operations Center,Lenovo,Containment Network,Analyst Team Bravo,Monitoring
2026-07-28,BID-2026-8255,Coordinated Biomedical Systems Intrusion,Counter-Bioterror Intelligence Case,MODERATE,ELEVATED,44,87,95,20,18,Biomedical Analysis Cluster,Lenovo,Research Operations,Analyst Team Alpha,Monitoring
2026-07-28,BID-2026-5296,Coordinated Biomedical Systems Intrusion,Biomedical Network Exposure,MODERATE,ELEVATED,41,82,93,30,7,Evidence Processing Network,Lenovo,Containment Network,Joint Cyber Investigation Unit,Monitoring
2026-07-28,BID-2026-2459,Coordinated Biomedical Systems Intrusion,Research Facility Intrusion,MODERATE,ELEVATED,46,91,67,26,7,Biosecurity Operations Center,Red Hat,Secure Laboratory,National Response Cell,Evidence Collection
2026-07-29,BID-2026-3308,Coordinated Biomedical Systems Intrusion,Evidence Reconstruction Investigation,LOW,ROUTINE,21,84,14,14,7,Federal Investigation Network,Palo Alto Networks,Secure Laboratory,Analyst Team Delta,Evidence Collection
2026-07-29,BID-2026-9499,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,CRITICAL,CRITICAL,98,98,364,80,47,Biosecurity Operations Center,Cisco,Secure Laboratory,Analyst Team Alpha,Open
2026-07-29,BID-2026-2215,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,HIGH,HIGH,73,97,168,75,18,Laboratory Control Network,Red Hat,Federal Operations,Analyst Team Bravo,Field Coordination
2026-07-29,BID-2026-4439,Coordinated Biomedical Systems Intrusion,Evidence Reconstruction Investigation,MODERATE,ELEVATED,46,92,46,15,11,Biosecurity Operations Center,VMware,Containment Network,Analyst Team Delta,Intelligence Analysis
2026-07-30,BID-2026-2293,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,MODERATE,ELEVATED,44,87,58,25,10,Biosecurity Operations Center,Microsoft,Evidence Network,BioDefense Task Force,Open
2026-07-30,BID-2026-3690,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,MODERATE,ELEVATED,45,90,44,32,9,Clinical Research Environment,Cisco,Biosecurity Segment,Analyst Team Delta,Evidence Collection
2026-07-30,BID-2026-1003,Coordinated Biomedical Systems Intrusion,Biomedical Network Exposure,LOW,ROUTINE,20,82,40,11,6,Genome Sequencing Environment,VMware,Biosecurity Segment,Analyst Team Delta,Open
2026-07-30,BID-2026-1532,Coordinated Biomedical Systems Intrusion,Research Facility Intrusion,HIGH,HIGH,68,91,193,77,14,Biosecurity Operations Center,Fortinet,Federal Operations,Analyst Team Delta,Open
2026-07-30,BID-2026-5457,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,HIGH,HIGH,70,93,160,46,15,Research Network,Fortinet,Evidence Network,Analyst Team Alpha,Containment
2026-07-30,BID-2026-8488,Coordinated Biomedical Systems Intrusion,Research Facility Intrusion,MODERATE,ELEVATED,43,86,78,19,15,Clinical Research Environment,Fortinet,Federal Operations,Analyst Team Alpha,Containment
2026-07-30,BID-2026-1479,Coordinated Biomedical Systems Intrusion,Cyber-Biothreat Intelligence Review,CRITICAL,CRITICAL,90,90,330,152,25,Biosecurity Operations Center,Fortinet,Federal Operations,Analyst Team Bravo,Containment
2026-07-31,BID-2026-7077,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,LOW,ROUTINE,22,88,41,3,6,Federal Investigation Network,Fortinet,Biosecurity Segment,National Response Cell,Field Coordination
2026-07-31,BID-2026-5363,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach,HIGH,HIGH,66,88,175,41,31,Genome Sequencing Environment,Red Hat,Federal Operations,Joint Cyber Investigation Unit,Intelligence Analysis
2026-08-01,BID-2026-9408,Coordinated Biomedical Systems Intrusion,Counter-Bioterror Intelligence Case,CRITICAL,CRITICAL,96,96,348,121,47,Federal Investigation Network,Red Hat,Research Operations,Analyst Team Bravo,Monitoring
2026-08-01,BID-2026-8561,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,MODERATE,ELEVATED,42,85,52,22,6,Laboratory Control Network,VMware,Containment Network,Analyst Team Bravo,Open
2026-08-01,BID-2026-6443,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,HIGH,HIGH,72,96,218,45,27,Evidence Processing Network,Microsoft,Containment Network,Analyst Team Bravo,Evidence Collection
2026-08-01,BID-2026-4819,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach,HIGH,HIGH,67,89,197,76,28,Clinical Research Environment,VMware,Federal Operations,National Response Cell,Intelligence Analysis
2026-08-01,BID-2026-1115,Coordinated Biomedical Systems Intrusion,Biosecurity Infrastructure Investigation,HIGH,HIGH,72,96,214,37,14,Federal Investigation Network,Red Hat,Research Operations,Analyst Team Delta,Monitoring
2026-08-02,BID-2026-5702,Coordinated Biomedical Systems Intrusion,Evidence Reconstruction Investigation,MODERATE,ELEVATED,65,85,61,13,15,Genome Sequencing Environment,Cisco,Containment Network,BioDefense Task Force,Intelligence Analysis
2026-08-02,BID-2026-9061,Coordinated Biomedical Systems Intrusion,Research Facility Intrusion,HIGH,HIGH,75,88,212,38,14,Laboratory Control Network,Fortinet,Containment Network,Analyst Team Bravo,Open
2026-08-02,BID-2026-9879,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,LOW,ROUTINE,25,88,53,6,10,Laboratory Control Network,Palo Alto Networks,Protected Research Segment,Joint Cyber Investigation Unit,Containment
2026-08-02,BID-2026-6104,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,LOW,ROUTINE,36,85,14,10,4,Clinical Research Environment,Lenovo,Protected Research Segment,Analyst Team Bravo,Monitoring
2026-08-02,BID-2026-6321,Coordinated Biomedical Systems Intrusion,Supply Chain Security Investigation,HIGH,HIGH,81,86,115,40,31,Protected Research Network,HPE,Federal Operations,BioDefense Task Force,Evidence Collection
2026-08-02,BID-2026-3342,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,MODERATE,ELEVATED,53,88,87,32,17,Evidence Processing Network,HPE,Protected Research Segment,Analyst Team Alpha,Field Coordination
2026-08-03,BID-2026-1278,Coordinated Biomedical Systems Intrusion,Protected Research Systems Investigation,MODERATE,ELEVATED,46,86,114,22,16,Medical Research Laboratory,Dell,Federal Operations,Analyst Team Delta,Field Coordination
2026-08-03,BID-2026-3870,Coordinated Biomedical Systems Intrusion,Laboratory Access Control Investigation,LOW,ROUTINE,36,87,51,10,5,Clinical Research Environment,Dell,Research Operations,Analyst Team Alpha,Monitoring
2026-08-03,BID-2026-2718,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,MODERATE,ELEVATED,62,86,92,39,18,Clinical Research Environment,Dell,Evidence Network,Analyst Team Delta,Field Coordination
2026-08-03,BID-2026-5077,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,MODERATE,ELEVATED,58,88,49,14,20,Research Data Repository,Palo Alto Networks,Evidence Network,Analyst Team Alpha,Open
2026-08-03,BID-2026-8334,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,LOW,ROUTINE,21,85,54,18,7,Clinical Research Environment,Red Hat,Research Operations,Analyst Team Delta,Containment
2026-08-03,BID-2026-4246,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,CRITICAL,CRITICAL,96,95,240,90,59,Protected Research Network,Dell,Protected Research Segment,Joint Cyber Investigation Unit,Open
2026-08-03,BID-2026-6850,Coordinated Biomedical Systems Intrusion,Cyber-Biothreat Intelligence Review,HIGH,HIGH,84,87,97,53,40,Biomedical Analysis Cluster,Lenovo,Secure Laboratory,BioDefense Task Force,Containment
2026-08-03,BID-2026-3408,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,LOW,ROUTINE,30,83,54,15,10,Biomedical Analysis Cluster,Microsoft,Containment Network,Joint Cyber Investigation Unit,Field Coordination
2026-08-03,BID-2026-7106,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,HIGH,HIGH,66,86,140,44,16,Protected Research Network,HPE,Federal Operations,National Response Cell,Evidence Collection
2026-08-03,BID-2026-7175,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,MODERATE,ELEVATED,46,91,41,24,15,Laboratory Control Network,Red Hat,Biosecurity Segment,National Response Cell,Open
2026-08-03,BID-2026-6091,Coordinated Biomedical Systems Intrusion,Protected Research Systems Investigation,MODERATE,ELEVATED,48,85,84,35,14,Genome Sequencing Environment,Fortinet,Secure Laboratory,National Response Cell,Containment
2026-08-03,BID-2026-9937,Coordinated Biomedical Systems Intrusion,Protected Research Systems Investigation,LOW,ROUTINE,28,84,17,10,10,Evidence Processing Network,VMware,Containment Network,Analyst Team Bravo,Open
2026-08-03,BID-2026-3583,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,HIGH,HIGH,68,90,136,29,27,Research Data Repository,VMware,Biosecurity Segment,National Response Cell,Intelligence Analysis
2026-08-03,BID-2026-5190,Coordinated Biomedical Systems Intrusion,Cyber-Biothreat Intelligence Review,LOW,ROUTINE,26,90,12,17,5,Research Data Repository,Microsoft,Federal Operations,Analyst Team Bravo,Containment
