EvidenceID,Date,CaseID,ArtifactType,Description,Operation,Classification,Platform,Device,CollectedBy,Status,SchemaVersion
EV-00092,2026-07-24,BID-2026-4432,Digital Evidence,,Operation Black Eclipse,Research Facility Intrusion,Laboratory Control Network,Laboratory Controller,Analyst Team Alpha,Collected,2
EV-00093,2026-07-24,BID-2026-3610,Digital Evidence,,Operation Black Eclipse,Laboratory Security Breach,Federal Investigation Network,Access Control System,Analyst Team Bravo,Collected,2
EV-00094,2026-07-24,BID-2026-8498,Digital Evidence,,Operation Black Eclipse,Cyber-Biothreat Intelligence Review,Evidence Processing Network,Evidence Repository,Analyst Team Delta,Collected,2
EV-00095,2026-07-24,BID-2026-7222,Digital Evidence,,Operation Black Eclipse,Cyber-Biothreat Intelligence Review,Clinical Research Environment,Access Control System,Joint Cyber Investigation Unit,Collected,2
EV-00096,2026-07-25,BID-2026-5964,Digital Evidence,,Operation Black Eclipse,Laboratory Security Breach,Federal Investigation Network,Digital Evidence Appliance,Analyst Team Delta,Collected,2
EV-00097,2026-07-25,BID-2026-6782,Digital Evidence,,Operation Black Eclipse,Laboratory Security Breach,Biomedical Analysis Cluster,Laboratory Controller,Analyst Team Bravo,Collected,2
EV-00098,2026-07-26,BID-2026-3972,Digital Evidence,,Operation Black Eclipse,Medical Device Security Assessment,Laboratory Control Network,Access Control System,Analyst Team Alpha,Collected,2
EV-00099,2026-07-26,BID-2026-8783,Digital Evidence,,Operation Black Eclipse,Evidence Reconstruction Investigation,Evidence Processing Network,Biomedical Workstation,BioDefense Task Force,Collected,2
EV-00100,2026-07-26,BID-2026-7389,Authentication Logs,,Operation Black Eclipse,Unauthorized Research System Access,Genome Sequencing Environment,Laboratory Controller,Analyst Team Delta,Collected,2
EV-00101,2026-07-26,BID-2026-5440,Digital Evidence,,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Laboratory Control Network,Access Control System,Analyst Team Bravo,Collected,2
EV-00102,2026-07-26,BID-2026-1824,Digital Evidence,,Operation Black Eclipse,Biosecurity Infrastructure Investigation,Genome Sequencing Environment,Biomedical Workstation,National Response Cell,Collected,2
EV-00103,2026-07-26,BID-2026-4874,Digital Evidence,,Operation Black Eclipse,Laboratory Security Breach,Genome Sequencing Environment,Access Control System,Analyst Team Alpha,Collected,2
EV-00104,2026-07-26,BID-2026-8128,Digital Evidence,,Operation Black Eclipse,Medical Device Security Assessment,Laboratory Control Network,Biomedical Workstation,Analyst Team Bravo,Collected,2
EV-00105,2026-07-26,BID-2026-1198,Digital Evidence,,Operation Black Eclipse,Biomedical Network Exposure,Laboratory Control Network,Biomedical Workstation,Analyst Team Delta,Collected,2
EV-00106,2026-07-26,BID-2026-9301,Digital Evidence,,Operation Black Eclipse,Cyber-Biothreat Intelligence Review,Biosecurity Operations Center,Genome Sequencing Server,Joint Cyber Investigation Unit,Collected,2
EV-00107,2026-07-26,BID-2026-9419,Digital Evidence,,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Evidence Processing Network,Digital Evidence Appliance,National Response Cell,Collected,2
EV-00108,2026-07-26,BID-2026-9404,Digital Evidence,,Operation Black Eclipse,Cyber-Biothreat Intelligence Review,Evidence Processing Network,Biomedical Workstation,National Response Cell,Collected,2
EV-00109,2026-07-26,BID-2026-9444,Digital Evidence,,Operation Black Eclipse,Biological Research Intelligence Collection,Evidence Processing Network,Research Database,Analyst Team Alpha,Collected,2
EV-00110,2026-07-27,BID-2026-1850,Digital Evidence,,Operation Black Eclipse,Research Facility Intrusion,Biosecurity Operations Center,Laboratory Controller,National Response Cell,Collected,2
EV-00111,2026-07-27,BID-2026-4464,Digital Evidence,,Operation Black Eclipse,Biological Research Intelligence Collection,Biosecurity Operations Center,Digital Evidence Appliance,Analyst Team Bravo,Collected,2
EV-00112,2026-07-28,BID-2026-8255,Digital Evidence,,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Biomedical Analysis Cluster,Specimen Tracking Server,Analyst Team Alpha,Collected,2
EV-00113,2026-07-28,BID-2026-5296,Digital Evidence,,Operation Black Eclipse,Biomedical Network Exposure,Evidence Processing Network,Biomedical Workstation,Joint Cyber Investigation Unit,Collected,2
EV-00114,2026-07-28,BID-2026-2459,Digital Evidence,,Operation Black Eclipse,Research Facility Intrusion,Biosecurity Operations Center,Specimen Tracking Server,National Response Cell,Collected,2
EV-00115,2026-07-29,BID-2026-3308,Digital Evidence,,Operation Black Eclipse,Evidence Reconstruction Investigation,Federal Investigation Network,Biomedical Workstation,Analyst Team Delta,Collected,2
EV-00116,2026-07-29,BID-2026-9499,Authentication Logs,,Operation Black Eclipse,Unauthorized Research System Access,Biosecurity Operations Center,Genome Sequencing Server,Analyst Team Alpha,Collected,2
EV-00117,2026-07-29,BID-2026-2215,Authentication Logs,,Operation Black Eclipse,Unauthorized Research System Access,Laboratory Control Network,Laboratory Controller,Analyst Team Bravo,Collected,2
EV-00118,2026-07-29,BID-2026-4439,Digital Evidence,,Operation Black Eclipse,Evidence Reconstruction Investigation,Biosecurity Operations Center,Research Database,Analyst Team Delta,Collected,2
EV-00119,2026-07-30,BID-2026-2293,Digital Evidence,,Operation Black Eclipse,Medical Device Security Assessment,Biosecurity Operations Center,Digital Evidence Appliance,BioDefense Task Force,Collected,2
EV-00120,2026-07-30,BID-2026-3690,Digital Evidence,,Operation Black Eclipse,Biological Research Intelligence Collection,Clinical Research Environment,Laboratory Controller,Analyst Team Delta,Collected,2
EV-00121,2026-07-30,BID-2026-1003,Digital Evidence,,Operation Black Eclipse,Biomedical Network Exposure,Genome Sequencing Environment,Specimen Tracking Server,Analyst Team Delta,Collected,2
EV-00122,2026-07-30,BID-2026-1532,Digital Evidence,,Operation Black Eclipse,Research Facility Intrusion,Biosecurity Operations Center,Laboratory Controller,Analyst Team Delta,Collected,2
EV-00123,2026-07-30,BID-2026-5457,Digital Evidence,,Operation Black Eclipse,Biological Research Intelligence Collection,Research Network,Access Control System,Analyst Team Alpha,Collected,2
EV-00124,2026-07-30,BID-2026-8488,Digital Evidence,,Operation Black Eclipse,Research Facility Intrusion,Clinical Research Environment,Digital Evidence Appliance,Analyst Team Alpha,Collected,2
EV-00125,2026-07-30,BID-2026-1479,Digital Evidence,,Operation Black Eclipse,Cyber-Biothreat Intelligence Review,Biosecurity Operations Center,Biomedical Workstation,Analyst Team Bravo,Collected,2
EV-00126,2026-07-31,BID-2026-7077,Digital Evidence,,Operation Black Eclipse,Biological Research Intelligence Collection,Federal Investigation Network,Genome Sequencing Server,National Response Cell,Collected,2
EV-00127,2026-07-31,BID-2026-5363,Digital Evidence,,Operation Black Eclipse,Laboratory Security Breach,Genome Sequencing Environment,Evidence Repository,Joint Cyber Investigation Unit,Collected,2
EV-00128,2026-08-01,BID-2026-9408,Digital Evidence,,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Federal Investigation Network,Research Database,Analyst Team Bravo,Collected,2
EV-00129,2026-08-01,BID-2026-8561,Authentication Logs,,Operation Black Eclipse,Unauthorized Research System Access,Laboratory Control Network,Biomedical Workstation,Analyst Team Bravo,Collected,2
EV-00130,2026-08-01,BID-2026-6443,Digital Evidence,,Operation Black Eclipse,Biological Research Intelligence Collection,Evidence Processing Network,Biomedical Workstation,Analyst Team Bravo,Collected,2
EV-00131,2026-08-01,BID-2026-4819,Digital Evidence,,Operation Black Eclipse,Laboratory Security Breach,Clinical Research Environment,Laboratory Controller,National Response Cell,Collected,2
EV-00132,2026-08-01,BID-2026-1115,Digital Evidence,,Operation Black Eclipse,Biosecurity Infrastructure Investigation,Federal Investigation Network,Genome Sequencing Server,Analyst Team Delta,Collected,2
EV-00133,2026-08-02,BID-2026-5702,Digital Evidence,,Operation Black Eclipse,Evidence Reconstruction Investigation,Genome Sequencing Environment,Evidence Repository,BioDefense Task Force,Collected,2
EV-00134,2026-08-02,BID-2026-9061,Digital Evidence,,Operation Black Eclipse,Research Facility Intrusion,Laboratory Control Network,Genome Sequencing Server,Analyst Team Bravo,Collected,2
EV-00135,2026-08-02,BID-2026-9879,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,Laboratory Control Network,Biomedical Workstation,Joint Cyber Investigation Unit,Collected,2
EV-00136,2026-08-02,BID-2026-6104,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,Clinical Research Environment,Evidence Repository,Analyst Team Bravo,Collected,2
EV-00137,2026-08-02,BID-2026-6321,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Supply Chain Security Investigation,Protected Research Network,Network Security Appliance,BioDefense Task Force,Collected,2
EV-00138,2026-08-02,BID-2026-3342,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,Evidence Processing Network,Access Control Server,Analyst Team Alpha,Collected,2
EV-00139,2026-08-03,BID-2026-1278,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Protected Research Systems Investigation,Medical Research Laboratory,Access Control Server,Analyst Team Delta,Collected,2
EV-00140,2026-08-03,BID-2026-3870,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Laboratory Access Control Investigation,Clinical Research Environment,Clinical Data Server,Analyst Team Alpha,Collected,2
EV-00141,2026-08-03,BID-2026-2718,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,Clinical Research Environment,Network Security Appliance,Analyst Team Delta,Collected,2
EV-00142,2026-08-03,BID-2026-5077,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,Research Data Repository,Biomedical Workstation,Analyst Team Alpha,Collected,2
EV-00143,2026-08-03,BID-2026-8334,Authentication Logs,,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,Clinical Research Environment,Biomedical Workstation,Analyst Team Delta,Collected,2
EV-00144,2026-08-03,BID-2026-4246,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,Protected Research Network,Laboratory Information Server,Joint Cyber Investigation Unit,Collected,2
EV-00145,2026-08-03,BID-2026-6850,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Cyber-Biothreat Intelligence Review,Biomedical Analysis Cluster,Evidence Repository,BioDefense Task Force,Collected,2
EV-00146,2026-08-03,BID-2026-3408,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,Biomedical Analysis Cluster,Evidence Repository,Joint Cyber Investigation Unit,Collected,2
EV-00147,2026-08-03,BID-2026-7106,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,Protected Research Network,Research Database Server,National Response Cell,Collected,2
EV-00148,2026-08-03,BID-2026-7175,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,Laboratory Control Network,Genome Analysis Workstation,National Response Cell,Collected,2
EV-00149,2026-08-03,BID-2026-6091,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Protected Research Systems Investigation,Genome Sequencing Environment,Access Control Server,National Response Cell,Collected,2
EV-00150,2026-08-03,BID-2026-9937,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Protected Research Systems Investigation,Evidence Processing Network,Network Security Appliance,Analyst Team Bravo,Collected,2
EV-00151,2026-08-03,BID-2026-3583,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,Research Data Repository,Clinical Data Server,National Response Cell,Collected,2
EV-00152,2026-08-03,BID-2026-5190,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Cyber-Biothreat Intelligence Review,Research Data Repository,Genome Analysis Workstation,Analyst Team Bravo,Collected,2
EV-00153,2026-08-04,BID-2026-7918,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Protected Research Systems Investigation,Medical Research Laboratory,Network Security Appliance,Analyst Team Delta,Collected,2
EV-00154,2026-08-04,BID-2026-9934,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Supply Chain Security Investigation,Laboratory Control Network,Clinical Data Server,BioDefense Task Force,Collected,2
EV-00155,2026-08-04,BID-2026-5598,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Specimen Management Security Review,Biosecurity Operations Center,Biomedical Workstation,Analyst Team Bravo,Collected,2
EV-00156,2026-08-04,BID-2026-6149,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Supply Chain Security Investigation,Laboratory Control Network,Access Control Server,BioDefense Task Force,Collected,2
EV-00157,2026-08-04,BID-2026-5008,Authentication Logs,,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,Biosecurity Operations Center,Evidence Repository,Analyst Team Delta,Collected,2
EV-00158,2026-08-04,BID-2026-6459,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Supply Chain Security Investigation,Genome Sequencing Environment,Genome Analysis Workstation,Analyst Team Alpha,Collected,2
EV-00159,2026-08-04,BID-2026-8932,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Specimen Management Security Review,Evidence Processing Network,Genome Analysis Workstation,Analyst Team Alpha,Collected,2
EV-00160,2026-08-05,BID-2026-1514,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Digital Evidence Reconstruction Investigation,Clinical Research Environment,Medical Device Gateway,National Response Cell,Collected,2
EV-00161,2026-08-05,BID-2026-1207,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Laboratory Access Control Investigation,Research Data Repository,Clinical Data Server,Joint Cyber Investigation Unit,Collected,2
EV-00162,2026-08-05,BID-2026-5780,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Specimen Management Security Review,Evidence Processing Network,Clinical Data Server,National Response Cell,Collected,2
EV-00163,2026-08-06,BID-2026-8917,Authentication Logs,,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,Genome Sequencing Environment,Laboratory Information Server,Joint Cyber Investigation Unit,Collected,2
EV-00164,2026-08-06,BID-2026-3923,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,Clinical Research Environment,Access Control Server,National Response Cell,Collected,2
EV-00165,2026-08-06,BID-2026-2460,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Research Facility Intrusion Investigation,Biosecurity Operations Center,Access Control Server,Joint Cyber Investigation Unit,Collected,2
EV-00166,2026-08-06,BID-2026-6446,Digital Evidence,,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach Investigation,Biosecurity Operations Center,Network Security Appliance,Joint Cyber Investigation Unit,Collected,2
